"id","bot_id","symbol","trade_type","interval","oc","extend","amount","take_profit","reduce","up_reduce","ignore","is_active","created_at","updated_at","stoploss"
28772,2,"0GUSDT",both,"1m",0.20,50.00,100.00,30.00,5.00,5.00,50.00,1,"2025-12-26 08:32:44","2026-01-16 19:35:06",0.00
28773,2,"1000000BOBUSDT",both,"1m",0.20,50.00,100.00,30.00,5.00,5.00,50.00,1,"2025-12-26 08:32:44","2026-01-16 19:35:06",0.00
28774,2,"1000000MOGUSDT",both,"1m",0.20,50.00,100.00,30.00,5.00,5.00,50.00,1,"2025-12-26 08:32:44","2026-01-16 19:35:06",0.00
28775,2,"1000BONKUSDT",both,"1m",0.20,50.00,100.00,30.00,5.00,5.00,50.00,1,"2025-12-26 08:32:44","2026-01-16 19:35:06",0.00
28776,2,"1000CATUSDT",both,"1m",0.20,50.00,100.00,30.00,5.00,5.00,50.00,1,"2025-12-26 08:32:44","2026-01-16 19:35:06",0.00
28777,2,"1000CHEEMSUSDT",both,"1m",0.20,50.00,100.00,30.00,5.00,5.00,50.00,1,"2025-12-26 08:32:44","2026-01-16 19:35:06",0.00
28778,2,"1000FLOKIUSDT",both,"1m",0.20,50.00,100.00,30.00,5.00,5.00,50.00,1,"2025-12-26 08:32:44","2026-01-16 19:35:06",0.00
28779,2,"1000LUNCUSDT",both,"1m",0.20,50.00,100.00,30.00,5.00,5.00,50.00,1,"2025-12-26 08:32:44","2026-01-16 19:35:06",0.00
28780,2,"1000PEPEUSDT",both,"1m",0.20,50.00,100.00,30.00,5.00,5.00,50.00,1,"2025-12-26 08:32:44","2026-01-16 19:35:06",0.00
28781,2,"1000RATSUSDT",both,"1m",0.20,50.00,100.00,30.00,5.00,5.00,50.00,1,"2025-12-26 08:32:44","2026-01-16 19:35:06",0.00
28782,2,"1000SATSUSDT",both,"1m",0.20,50.00,100.00,30.00,5.00,5.00,50.00,1,"2025-12-26 08:32:44","2026-01-16 19:35:06",0.00
28783,2,"1000SHIBUSDT",both,"1m",0.20,50.00,100.00,30.00,5.00,5.00,50.00,1,"2025-12-26 08:32:44","2026-01-16 19:35:06",0.00
